Blank,Zymo,b1,b2,b3,b4,b5,cm1,cm2,cm3,cm4,cm5,cob1,cob2,cob3,cob4,cob5,cpf1,cpf2,cpf3,cpf4,cpf5,cpv1,cpv2,cpv3,cpv4,cpv5,im1,im2,im3,im4,im5,iob1,iob2,iob3,iob4,iob5,iod1,iod2,iod3,iod4,iod5,ion1,ion2,ion3,ion4,ion5,ipf1,ipf2,ipf3,ipf4,ipf5,ipv1,ipv2,ipv3,ipv4,ipv5,nm1,nm2,nm3,nm4,nm5,nod1,nod2,nod3,nod4,nod5,non1,non2,non3,non4,non5,npf1,npf2,npf3,npf4,npf5,npv1,npv2,npv3,npv4,npv5
Bryophyte Parasite-Ectomycorrhizal-Litter Saprotroph-Wood Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,8,0,65,8,0,0,4,3,18,0,0,46,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,99,0,0,0,0,0,0,23,19,0,18,0,0,0,18,0,0,0,0,25,0
Dung Saprotroph,0,0,0,0,0,0,0,8,91,126,147,13,0,0,167,0,177,138,10,2,140,8,23,2,734,98,23,37,12,227,75,249,0,0,6,0,0,0,0,0,0,0,0,0,0,0,38,247,0,0,199,41,0,18,0,8,542,785,0,78,140,4,0,0,0,0,0,0,0,0,14,0,65,51,0,567,246,0,130,8,389,729
Dung Saprotroph-Endophyte-Epiphyte-Wood Saprotroph,0,0,0,0,0,0,0,49,21,0,0,529,0,0,0,0,0,40,220,0,389,186,0,0,0,82,0,102,0,65,0,816,32,83,828,608,0,0,0,0,0,0,59,31,21,31,31,304,0,46,54,127,241,2327,118,231,266,21,0,0,247,0,0,0,0,0,0,0,0,22,0,0,0,122,0,0,0,0,0,0,0,0
Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph,0,0,0,0,0,0,0,96,238,241,680,13,0,452,8,0,0,83,70,9,4046,67,0,0,20,7,0,24,37,369,7,182,0,0,8,0,0,0,6,0,305,124,0,47,0,0,18,0,0,3,16,46,0,12,0,24,6,90,180,315,193,361,0,0,25,103,0,2,0,0,60,0,0,17,0,28,0,10,0,0,3,0
Dung Saprotroph-Plant Saprotroph,7,2,0,0,0,0,0,391,11493,310,425,2501,594,7432,5504,3614,7356,2536,254,157,605,269,21,125,939,1237,168,194,356,259,2652,65,3101,2234,1475,4157,0,440,1598,129,0,1234,6600,5250,43935,2845,8785,1437,199,3542,2027,6301,14922,815,1290,272,229,188,136,224,249,124,0,2494,677,3593,3158,153,56,604,1403,15960,226,382,422,301,1203,146,1013,139,82,215
Dung Saprotroph-Plant Saprotroph-Soil Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,163,0,0,0,0,0,0,5,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,0,0,0,0,374,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0
Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,0,0,0,0,0,0,0,57,259,5,0,0,3,4,419,17,50,3,0,11,19,29,0,74,6,5,48,22,21,0,6,0,21,14,8,46,0,24,0,0,0,0,0,0,0,16,0,0,0,29,39,4,0,26,11,22,45,36,3,0,8,8,0,479,354,60,133,0,26,49,0,41,31,0,59,22,5,12,7,6,138,192
Dung Saprotroph-Soil Saprotroph,0,0,0,0,0,0,0,7,407,0,2,49,0,0,0,21,54,0,60,6,164,8,58,0,0,0,2,129,53,223,31,33,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,146,71,2200,9511,845,0,0,123,0,33,0,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,13,0,14,4,27,0,12,0,11
Dung Saprotroph-Soil Saprotroph-Wood Saprotroph,0,0,0,0,0,0,0,0,46,4,49,7,0,52,0,0,0,47,103,6,459,0,7,0,0,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,20,0,448,0,0,134,0,191,0,13,0,0,90,0,103,40,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,0,516,1145,12,66,6,0,3
Dung Saprotroph-Undefined Saprotroph,0,0,0,0,0,0,0,25,30,63,263,32,528,37,126,562,234,0,34,24,44,313,13,36,16,38,82,45,52,64,0,19,89,934,259,217,0,95,377,1769,280,26,309,1184,181,562,232,56,344,1226,120,1106,169,54,0,338,509,0,0,35,13,0,0,0,0,79,145,100,24,0,634,64,0,611,0,38,49,15,29,11,78,0
Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph,0,0,0,0,0,0,0,0,101,0,0,87,0,0,0,0,0,594,0,0,0,8,58,0,0,0,47,493,58,255,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,3,180,86,27,204,0,0,0,54,131,0,85,0,0,0,0,0,0,0,0,0,0,39,0,0,0,11,0,38,30,0,19
Ectomycorrhizal,0,0,0,0,0,0,0,2,34,0,5,0,0,0,0,0,0,0,8,0,0,27,0,0,4,5,0,13,2,0,2,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,98,2,0,0,0,13,19,0,11,0,0,0,0,0,0,0,0,4,4,0,0,0,20,11,22,9,12,6,5,0,14,64
Ectomycorrhizal-Fungal Parasite,0,0,0,0,0,0,0,0,0,4,0,0,190,0,0,0,0,5,2,0,6,0,0,0,3,0,0,4,0,0,0,0,0,11,6,0,0,0,0,0,0,0,52,0,33,0,46,0,0,0,0,0,0,24,20,0,0,0,0,0,107,23,0,0,414,0,0,0,0,15,41,637,0,15,0,0,0,0,3,0,0,0
Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,0,0,0,0,0,0,0,247,25,57,84,5,55,666,253,540,23,7,55,54,10,7,5,3,0,107,214,5657,1882,221,47,140,110,227,275,395,0,0,102,0,0,0,28,36,9,29,19,0,43,74,230,85,142,59,185,474,134,30,213,9,21,35,0,0,0,114,0,7,0,0,0,0,46,93,0,62,52,0,0,0,43,41
Ectomycorrhizal-Undefined Saprotroph,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ectomycorrhizal-Wood Saprotroph,0,0,0,0,0,0,0,8,0,0,2,7,0,0,7,0,0,0,28,0,0,5,0,0,0,19,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,212,0,0,0,0,0,8,12,0,37,14,0,31,18,16,0,0,6,0
Endophyte,0,0,0,0,0,0,0,0,0,395,110,0,8,0,347,383,361,0,0,35,106,0,0,0,2,0,0,22,273,32,131,0,999,1969,206,301,0,40,0,2,0,43,36,1193,287,23,16,0,119,14,8,117,0,0,26,21,0,0,50,2,0,113,309,0,0,0,0,0,0,0,28,666,0,0,0,8,2,0,25,0,153,0
Endophyte-Insect Pathogen,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,5,14,0,0,0,0
Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,2,0,0,0,0,0,0,880,210,1884,3308,47,2369,1175,3140,7984,6827,1081,454,395,2477,1392,4306,6385,5214,2067,1062,399,3114,4852,2453,2225,2717,2053,713,2474,0,14820,1646,202,4238,528,18250,4352,12316,9787,22721,1318,145,1138,1633,866,409,1270,7338,2284,450,1241,1245,3254,2215,3443,32475,10932,9467,23264,25726,6179,19223,18174,16620,14790,1948,672,653,10425,2427,658,2879,8006,2267,899
Endophyte-Plant Pathogen,0,0,0,0,0,0,0,91,3249,40,74,204,88,40,728,4345,573,48,22,6,65,0,127,24,111,65,0,487,1567,727,2948,430,1320,630,274,770,0,46,0,0,331,0,12,241,198,408,1018,62,147,130,161,77,13,16,99,59,683,118,119,1214,46,19,0,0,35,223,0,53,146,9,10,34,92,12,0,98,60,0,11,56,37,5
Endophyte-Plant Pathogen-Plant Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endophyte-Plant Pathogen-Undefined Saprotroph,0,0,0,0,0,0,0,5,2,16,5,2,0,3,8,6,0,0,214,0,18,0,0,0,0,6,21,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,354,0,95,0,69,509,0,0,0,0,0,0,0,0,15,0,4,0,1589,38,0,4,2,4,42
Endophyte-Plant Pathogen-Wood Saprotroph,0,0,0,0,0,0,0,6,6,541,133,28,3,0,7,565,91,344,30,7,51,288,0,0,49,31,8,23,96,1109,100,53,128,1219,132,282,0,1561,2143,214,456,3684,928,208,103,77,0,192,122,167,472,161,2205,193,4780,242,5,155,863,76,2002,182,0,0,493,0,45,0,305,0,0,1903,663,61,308,673,216,8,28,6,60,31
Endophyte-Undefined Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,60,0,0,0,9,0,321,258,73,44,85,40,0,0,0,0,0,382,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epiphyte,0,0,0,0,0,0,0,329,627,2510,1619,271,0,6,184,120,63,199,183,287,233,279,66,85,562,1960,288,4644,813,965,2396,2150,403,414,27,409,0,22,0,11,0,0,0,0,0,4,0,617,71,225,1221,87,330,3157,995,515,237,252,56,2222,909,146,0,0,106,25,0,0,0,0,28,0,1506,172,27,565,2545,1228,207,2405,271,411
Fungal Parasite,0,0,0,0,0,0,0,89,312,161,169,35,0,8,0,22,6,85,892,0,204,19,16,13,30,152,980,370,239,90,621,137,106,252,37,12,0,0,0,0,0,0,0,0,601,0,22,50,131,613,258,37,156,180,172,46,138,32,9,143,100,747,222,0,0,0,0,0,0,0,0,0,779,206,242,661,168,21,62,0,213,126
Fungal Parasite-Plant Pathogen-Plant Saprotroph,0,0,444,0,0,0,0,934,661,404,14,1149,1833,3634,2592,4729,1224,1410,303,270,171,221,480,4227,1168,488,351,252,277,369,114,34,979,1621,248,980,0,1003,241,22,2777,1007,125,449,258,1497,1025,5,56,565,739,65,77,500,1332,126,377,31,53,1405,133,941,0,782,1927,9186,2438,6175,8245,3256,525,1650,268,439,1263,392,1017,152,1042,74,203,548
Fungal Parasite-Plant Saprotroph-Soil Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,24,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6,0,0,0,0,0
Fungal Parasite-Soil Saprotroph-Undefined Saprotroph,0,0,0,0,0,0,0,87,465,141,0,23,0,0,81,210,63,84,114,0,36,0,0,0,168,42,0,49,28,92,17,54,65,85,0,48,0,352,0,20,385,0,0,185,81,418,183,0,0,26,26,0,101,0,50,0,75,139,0,279,29,133,0,0,0,0,0,11,0,0,0,0,0,83,0,0,172,0,44,0,0,28
Lichen Parasite-Wood Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lichenized,0,0,0,0,0,0,0,0,61,0,32,0,0,0,0,0,0,0,57,47,111,27,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,26,21,275,0,0,0,0,0
Lichenized-Wood Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litter Saprotroph-Soil Saprotroph-Wood Saprotroph,0,0,0,0,0,0,0,0,77,46,176,134,0,6,0,535,0,75,492,152,146,2695,0,0,62,45,527,563,756,640,1261,808,0,0,3,2307,0,0,0,42,44,0,0,0,0,0,0,258,555,6834,3580,1406,187,1413,278,459,185,48,398,29,31,530,0,284,0,208,0,36,0,0,0,12,3475,790,1822,1151,230,16,262,0,90,3185
Plant Pathogen,0,0,688,0,738,288,0,3648,428,9872,2176,55,372,1740,1756,4684,880,110,1424,1312,3347,1911,3887,129,1219,3085,869,175,359,235,975,98,1011,1013,297,2661,0,184,1040,557,586,14,1492,1742,818,2079,405,2633,1808,1876,632,2952,533,2875,3293,70,498,1277,539,1844,1411,178,472,82,63,17,560,0,322,30,1021,287,133,455,119,4687,17653,213,703,1335,118,4331
Plant Pathogen-Plant Saprotroph,0,0,0,0,0,0,0,117,0,37,0,0,0,187,13,90,0,0,0,0,0,4,0,0,30,8,9,3,0,0,0,0,38,0,0,0,0,0,1198,90,0,0,0,0,0,114,23,0,0,311,31,0,0,2,0,8,7,32,0,0,0,27,11062,0,624,3954,279,35,0,225,731,483,0,0,0,3,6,0,0,0,37,53
Plant Pathogen-Undefined Parasite-Undefined Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant Pathogen-Undefined Saprotroph,0,0,0,0,0,0,0,22,196,51,28,8,156,73,2584,95,16,57,684,161,38,464,2871,1678,4557,1098,3634,91,60,725,42,609,31,13,0,392,0,47,169,0,152,125,4,27,68,102,670,161,5,20,40,17,451,1783,4887,626,878,307,313,452,455,236,0,0,78,54,0,0,0,5,56,24,281,281,165,245,185,374,1562,4658,12105,3101
Plant Pathogen-Wood Saprotroph,0,6,0,0,0,0,0,304,156,601,2790,325,65,121,130,30,24,378,1330,244,713,1318,14,672,17,19,256,977,700,21074,43,10178,26,20,17,0,23,0,4,8,76,135,6,34,3,9,10,815,144,1434,2787,436,11,413,17,121,29,7006,66497,4863,2269,8926,0,235,4,69,667,25,11,24,15,235,1770,472,1556,1526,1439,529,354,0,35,37
Plant Saprotroph,0,0,0,0,0,0,0,207,0,0,0,0,0,2,8,18,0,0,0,0,0,8,0,0,0,8,0,10,48,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,37,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0
Plant Saprotroph-Wood Saprotroph,0,0,0,0,0,0,0,381,408,29,151,33,0,0,88,0,9,88,3,34,44,298,0,0,16,0,0,128,153,304,0,8,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,26,54,100,203,39,0,2,17,15,86,0,0,70,0,123,0,0,0,0,0,0,0,0,0,0,588,20,125,273,46,34,15,0,7,14
Soil Saprotroph-Undefined Saprotroph,0,0,0,0,0,0,0,18,33,11,0,0,0,13,18,4081,421,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,247,238,196,0,1614,71,28,137,26,0,48,0,0,23,0,0,5,258,503
Undefined Saprotroph,0,10,79449,0,0,0,0,34704,29635,13490,14589,842,2915,1700,5064,2063,3461,1078,3748,1725,3349,39586,662,267,1179,7154,1838,1613,8491,4741,3614,14254,1832,2098,617,2003,40,1127,1081,1999,1903,128,734,7233,1823,3454,4868,24296,1053,3293,3564,2688,2412,420,1480,832,5205,6468,1540,5553,17899,3996,338,4949,670,983,1431,579,1811,444,1402,689,17063,7415,2625,4272,5919,12252,714,3398,1019,1815
Undefined Saprotroph-Wood Saprotroph,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
Wood Saprotroph,0,0,0,0,0,0,0,107,177,360,103,103,449,45,2,136,11,210,415,244,1206,2041,2,0,64,351,29,565,191,634,362,4,1171,440,87,24,0,104,0,0,66,0,0,18,16,6,13,242,21,348,1206,74,119,17,67,0,34,0,256,2848,197,485,0,260,150,127,0,0,60,10,0,0,425,277,3676,882,1887,13,211,2,326,407
