SampleID,Buffel,Vegetation,Induced,Site,sampleid,SiteInvasion,Cover,CoverGeneral
CPV4,1,Palo Verde,0,C,cpv4,Natural,PaloVerde_withBuffel,PaloVerde
CPV5,1,Palo Verde,0,C,cpv5,Natural,PaloVerde_withBuffel,PaloVerde
CPF1,1,Ironwood,0,C,cpf1,Natural,IronWood_withBuffel,IronWood
CPF2,1,Ironwood,0,C,cpf2,Natural,IronWood_withBuffel,IronWood
CPF3,1,Ironwood,0,C,cpf3,Natural,IronWood_withBuffel,IronWood
CPF4,1,Ironwood,0,C,cpf4,Natural,IronWood_withBuffel,IronWood
CPF5,1,Ironwood,0,C,cpf5,Natural,IronWood_withBuffel,IronWood
CM1,1,Mesquite,0,C,cm1,Natural,Mesquite_withBuffel,Mesquite
CM2,1,Mesquite,0,C,cm2,Natural,Mesquite_withBuffel,Mesquite
CM3,1,Mesquite,0,C,cm3,Natural,Mesquite_withBuffel,Mesquite
CM4,1,Mesquite,0,C,cm4,Natural,Mesquite_withBuffel,Mesquite
CM5,1,Mesquite,0,C,cm5,Natural,Mesquite_withBuffel,Mesquite
COB1,1,Open Buffel,0,C,cob1,Natural,Open_withBuffel,Open
COB2,1,Open Buffel,0,C,cob2,Natural,Open_withBuffel,Open
COB3,1,Open Buffel,0,C,cob3,Natural,Open_withBuffel,Open
COB4,1,Open Buffel,0,C,cob4,Natural,Open_withBuffel,Open
COB5,1,Open Buffel,0,C,cob5,Natural,Open_withBuffel,Open
