#group		Blank	Zymo	b1	b2	b3	b4	b5	cm1	cm2	cm3	cm4	cm5	cob1	cob2	cob3	cob4	cob5	cpf1	cpf2	cpf3	cpf4	cpf5	cpv1	cpv2	cpv3	cpv4	cpv5	im1	im2	im3	im4	im5	iob1	iob2	iob3	iob4	iob5	iod1	iod2	iod3	iod4	iod5	ion1	ion2	ion3	ion4	ion5	ipf1	ipf2	ipf3	ipf4	ipf5	ipv1	ipv2	ipv3	ipv4	ipv5	nm1	nm2	nm3	nm4	nm5	nod1	nod2	nod3	nod4	nod5	non1	non2	non3	non4	non5	npf1	npf2	npf3	npf4	npf5	npv1	npv2	npv3	npv4	npv5
aerobic_ammonia_oxidation	NA	0	0	17	4	8	6	0	6191	178	3760	6056	2767	8089	4118	10108	4560	4816	2354	10955	4668	9318	6304	1949	9090	3274	5021	5212	1130	2996	4199	4088	1410	4860	5117	1669	5499	5045	1629	1550	5023	1856	1121	3193	687	3505	3768	2743	3569	4090	6080	3145	7823	4101	2181	1343	6706	8350	3023	1552	4945	1608	5390	3637	1256	3887	4747	3697	4927	2496	2406	1836	2402	6389	10355	5802	3855	3636	3074	8860	3849	2847	7854
aerobic_nitrite_oxidation	NA	0	0	0	0	0	0	0	350	18	474	924	538	703	309	759	302	438	631	856	407	733	554	441	577	306	727	528	819	1318	1378	791	638	218	203	75	274	179	121	45	215	89	28	239	81	214	207	56	1093	1217	1228	894	465	247	416	56	682	992	439	272	728	248	261	38	273	970	276	293	317	308	201	63	202	561	723	660	419	700	247	1132	888	155	556
nitrification	NA	0	0	17	4	8	6	0	6541	196	4234	6980	3305	8792	4427	10867	4862	5254	2985	11811	5075	10051	6858	2390	9667	3580	5748	5740	1872	4314	5577	4879	2048	5078	5320	1744	5773	5224	1750	1595	5238	1945	1149	3432	768	3719	3975	2799	4662	5307	7308	4039	8288	4348	2597	1399	7388	9342	3462	1824	5673	1856	5651	3675	1529	4857	5023	3990	5244	2804	2607	1899	2604	6950	11078	6462	4274	4336	3321	9992	4737	3002	8410
sulfate_respiration	NA	0	0	0	0	0	0	0	14	0	24	15	14	0	19	0	115	112	0	95	22	28	486	0	15	0	40	12	0	0	0	0	0	23	17	42	48	0	0	0	0	0	0	16	0	0	0	0	0	30	0	13	44	0	13	0	19	13	16	0	11	0	14	0	0	0	0	0	9	50	0	0	0	0	72	30	7	28	7	37	0	0	0
sulfur_respiration	ASV34248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
dark_sulfite_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	NA	0	0	0	0	0	0	0	14	0	24	15	14	0	19	0	115	112	0	95	22	28	486	0	15	0	40	12	0	0	0	0	0	23	17	42	48	0	0	0	0	0	0	16	0	0	0	0	0	30	0	13	44	0	13	0	19	13	16	0	11	0	14	0	0	0	0	0	9	50	0	0	0	0	79	30	7	28	7	37	0	0	0
arsenate_detoxification	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_detoxification	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	NA	0	0	0	0	0	0	46	302	0	196	700	621	576	121	339	300	469	759	1245	439	572	610	430	273	426	269	506	674	664	651	501	190	230	148	92	241	259	47	102	40	0	0	63	85	34	0	11	926	666	375	425	569	0	230	0	451	421	291	291	666	109	1028	0	0	40	80	0	174	0	71	17	78	337	1378	1269	433	738	462	1277	592	128	704
nitrite_denitrification	NA	0	0	0	0	0	0	46	302	0	196	700	621	576	121	339	300	469	759	1245	439	572	610	430	273	426	269	506	674	664	651	501	190	230	148	92	241	259	47	102	40	0	0	63	85	34	0	11	926	666	375	425	569	0	230	0	451	421	291	291	666	109	1028	0	0	40	80	0	174	0	71	17	78	337	1378	1269	433	738	462	1277	592	128	704
nitrous_oxide_denitrification	NA	0	0	0	0	0	0	46	302	0	196	700	621	576	121	339	300	469	759	1245	439	572	610	430	273	426	269	506	674	664	651	501	190	230	148	92	241	259	47	102	40	0	0	63	85	34	0	11	926	666	375	425	569	0	230	0	451	421	291	291	666	109	1028	0	0	40	80	0	174	0	71	17	78	337	1378	1269	433	738	462	1277	592	128	704
denitrification	NA	0	0	0	0	0	0	46	302	0	196	700	621	576	121	339	300	469	759	1245	439	572	610	430	273	426	269	506	674	664	651	501	190	230	148	92	241	259	47	102	40	0	0	63	85	34	0	11	926	666	375	425	569	0	230	0	451	421	291	291	666	109	1028	0	0	40	80	0	174	0	71	17	78	337	1378	1269	433	738	462	1277	592	128	704
chitinolysis	NA	0	0	0	0	0	0	0	56	10	23	55	58	21	0	0	0	53	85	64	16	41	141	574	154	69	24	69	0	0	9	0	0	0	0	0	0	12	42	0	0	0	0	0	0	97	12	25	215	41	164	15	18	56	9	0	62	270	135	0	22	17	33	0	30	29	68	90	0	0	38	0	7	49	0	37	20	116	69	99	232	0	467
knallgas_bacteria	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_hydrogen_oxidation	NA	0	0	0	0	0	0	46	48	0	43	0	130	0	0	53	3	2	140	0	36	57	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	132	0	0	33	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	55	41	0	279
nitrogen_fixation	NA	0	0	0	0	0	0	0	428	0	592	1847	27	1337	154	562	747	964	775	940	739	1161	1364	933	772	1292	1795	2154	1004	1321	1426	2227	1012	1471	1344	453	1628	2260	82	344	52	60	0	552	0	456	948	584	2066	985	1498	1016	1180	560	609	250	1542	1227	593	329	947	445	986	0	98	46	63	44	304	117	144	110	75	645	703	1431	652	813	453	1179	2408	162	638
nitrate_ammonification	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_ammonification	ASV3141	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_respiration	NA	0	509	0	0	0	0	46	302	0	196	700	621	576	121	339	300	469	759	1245	439	572	610	430	273	426	269	506	674	664	651	501	190	230	148	92	241	259	47	102	40	0	0	63	85	34	0	11	926	666	375	425	569	0	230	0	451	421	291	291	666	109	1028	0	0	40	80	0	174	0	71	17	78	337	1378	1269	433	738	462	1277	592	128	704
cellulolysis	NA	0	0	0	0	0	0	0	136	0	523	546	462	69	19	0	67	57	9181	504	213	135	960	175	142	203	134	160	1456	529	4027	122	409	309	963	123	761	1394	278	780	878	725	117	194	82	140	609	99	1321	929	91	326	556	648	79	272	264	317	106	1703	255	277	58	0	25	19	25	179	327	24	111	0	0	1287	123	1265	834	362	36	84	202	0	302
xylanolysis	NA	0	0	0	0	0	0	0	106	0	57	84	188	28	0	0	53	46	45	34	71	119	139	23	116	0	203	169	11	23	40	92	24	0	0	0	0	0	0	47	120	0	26	0	0	0	0	0	341	120	27	48	380	0	0	0	115	354	61	0	62	19	14	0	0	19	25	59	327	0	33	0	0	0	124	173	13	22	36	115	40	0	174
dark_sulfide_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfur_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_thiosulfate_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	62	0	0	0	0	44
dark_oxidation_of_sulfur_compounds	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	47	0	0	0	29	0	0	50	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	20	0	16	49	0	0	16	0	58	0	0	18	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	10	91	0	0	0	0	86
manganese_oxidation	NA	0	0	0	0	0	0	0	3254	46	3182	2962	530	4267	1964	5819	2967	6841	4472	968	990	807	1444	1084	4308	3831	2265	2584	2138	5782	5583	7727	2868	2758	3393	1130	2775	2708	147	1465	3949	976	3558	2457	1111	4637	2793	2389	2904	1926	1388	2166	2170	2101	1420	657	2284	4385	2026	1002	2292	1372	3075	993	1397	2638	1440	1837	1855	2503	2285	1644	1332	2248	1084	917	982	1852	500	1644	1636	1206	1744
manganese_respiration	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligninolysis	ASV6765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	44
fermentation	NA	0	74429	0	7	0	0	188	658	5	250	292	810	557	580	622	361	2243	260	244	296	332	268	481	814	1045	430	340	41	125	153	68	100	174	163	58	603	130	807	63	376	860	715	151	2272	976	1841	321	1291	436	222	209	661	210	268	79	241	1206	277	0	411	95	97	545	127	212	384	968	551	5210	826	459	687	100	233	177	94	438	88	346	668	194	1338
aerobic_chemoheterotrophy	NA	0	8011	29	42	2	21	710	29848	1173	30518	49155	39916	48262	23620	45699	24498	47252	46691	38813	21290	33117	32652	29464	41275	26770	31819	38769	20484	30260	67171	41920	27434	30190	38768	7886	29740	37982	9071	24488	38945	15920	15750	23316	6000	27834	32606	23621	57423	32416	34271	27942	40504	29088	19591	9375	31476	45051	28547	38340	46027	19998	38688	27963	24149	31220	22221	29838	20808	15668	20930	10949	12160	36241	34147	34470	23279	30343	13846	37037	60395	11175	42916
invertebrate_parasites	ASV12481	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_septicemia	ASV1497	0	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_pneumonia	ASV1497	0	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_gastroenteritis	NA	0	1639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_diarrhea	ASV3141	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	NA	0	31547	0	0	0	0	0	0	0	166	360	103	240	36	167	48	586	543	479	128	21	284	1391	304	201	229	317	28	239	291	236	93	314	247	71	249	392	0	696	0	0	4	210	0	202	427	295	446	138	212	193	242	0	59	10	209	305	87	34	77	5	184	0	12	16	57	42	0	3041	122	0	39	102	157	178	302	272	87	205	478	0	78
fish_parasites	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	NA	0	14986	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1458	0	0	0	0	0	0	0	0	0	24	0	0	0
human_associated	NA	0	31547	0	0	0	0	188	0	0	166	360	103	240	36	167	48	586	543	479	128	21	284	1391	304	201	229	317	28	239	291	236	93	314	247	71	249	392	0	696	0	0	4	210	0	202	427	295	446	138	212	193	242	0	59	10	209	305	87	34	77	5	184	0	12	16	57	42	0	3041	122	0	39	102	157	178	302	272	87	205	478	0	78
mammal_gut	NA	0	14986	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1458	0	0	0	0	0	0	0	0	0	24	0	0	0
animal_parasites_or_symbionts	NA	0	31547	0	0	0	0	188	30	0	166	368	187	240	36	167	48	606	543	479	128	21	284	1433	304	201	256	317	28	245	291	236	101	411	358	103	301	533	0	696	0	0	4	261	0	243	512	350	446	138	212	208	242	0	72	10	228	305	136	34	77	14	243	0	12	16	57	42	0	3045	122	0	39	126	157	178	332	272	87	205	571	0	78
plant_pathogen	NA	0	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	64	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	44
oil_bioremediation	ASV3553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	NA	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	28	112	0	0	44	282	26	0	0	16	0	0	19	41	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	7	0	12	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	62	0	101	0	0	45
aromatic_compound_degradation	NA	0	0	0	11	0	0	0	825	27	1141	1664	1557	1098	351	688	691	1191	857	1330	790	598	836	1807	373	780	1729	803	693	1520	1191	1765	604	714	945	349	694	622	76	294	1284	154	440	397	615	606	870	440	1544	1161	839	1144	1314	1093	762	243	910	1647	944	189	1749	617	2959	336	1607	1318	124	2906	259	408	319	215	99	1025	741	441	570	1144	697	1481	1895	259	987
aliphatic_non_methane_hydrocarbon_degradation	NA	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	28	112	0	0	44	282	26	0	0	16	0	0	19	41	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	101	0	0	1
hydrocarbon_degradation	NA	0	0	0	0	0	0	0	491	0	239	76	44	562	454	546	116	112	112	0	73	478	282	97	980	32	42	203	0	19	41	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	7	33	12	113	0	0	0	0	74	109	0	258	0	356	229	588	143	280	262	336	0	38	33	155	5	278	0	0	62	157	208	20	82	452
dark_iron_oxidation	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron_respiration	NA	0	0	0	0	0	0	0	10	0	103	812	451	54	0	0	56	38	3405	807	227	16	1025	72	58	29	152	331	680	280	5079	274	520	422	356	0	377	632	0	55	0	16	0	171	0	121	180	101	385	508	178	159	114	181	199	58	309	119	63	5964	74	357	132	0	0	0	15	0	19	113	86	56	34	2117	358	2540	1299	195	0	145	745	0	0
nitrate_respiration	NA	0	509	0	0	0	0	46	302	0	392	1203	817	576	121	339	300	530	1623	1496	439	572	832	1756	356	426	540	737	1340	1897	2335	1090	946	230	148	92	241	259	47	102	40	0	0	63	85	34	0	11	1830	1247	680	782	569	162	468	32	831	782	385	551	962	247	1042	0	0	40	80	0	174	0	71	17	78	702	1378	1626	657	975	462	1290	1293	128	795
nitrate_reduction	NA	0	30829	0	0	0	7	234	6784	25	2854	3272	1101	6844	5732	9222	3988	4103	2746	5447	2634	7810	1750	3708	11261	3312	3696	6465	1718	2372	2807	3094	1404	2465	2302	546	1892	2218	725	1226	2685	1151	894	2320	870	4024	2659	1450	3458	2317	2419	1933	3111	1028	1593	458	2709	6095	3810	707	5232	990	4917	21473	5556	16152	13112	13267	6030	6513	2678	2823	4151	1232	6562	2271	1095	2179	3158	8215	4341	3832	10370
